Country,Port,Unlocode,"Vessels In Port","Departures (last 24hrs)","Arrivals (last 24hrs)","Expected Arrivals","Local Time","Related Anchorage","Area Global","Area Local"
India,BEDI,INBED,0,0,0,3,"2024-10-22 13:05",,"West Coast India","West Coast India"
India,NAVLAKHI,INNAV,0,3,0,3,"2024-10-22 13:05","NAVLAKHI ANCH","West Coast India","West Coast India"
India,CUDDALORE,INCDL,0,0,0,2,"2024-10-22 13:05","CUDDALORE ANCH","East Coast India","Bengal Bay"
India,DIGHI,INDIG,0,0,0,1,"2024-10-22 13:05","DIGHI ANCH","West Coast India","West Coast India"
India,JAKHAU,INJAK,0,0,0,1,"2024-10-22 13:05",,"West Coast India","West Coast India"
India,MAHE,INMAH,0,0,0,1,"2024-10-22 13:05",,"West Coast India","West Coast India"
India,RANPAR,INRNR,0,0,0,1,"2024-10-22 13:05","RANPAR ANCH","West Coast India","West Coast India"
India,AGHANASHINI,,0,0,0,0,"2024-10-22 13:05",,"West Coast India","West Coast India"
India,BELEKERI,INBLK,0,0,0,0,"2024-10-22 13:05",,"West Coast India","West Coast India"
India,"BEYPORE ANCH",,0,0,0,0,"2024-10-22 13:05",,"West Coast India","West Coast India"
India,BEYT,INBYT,0,0,0,0,"2024-10-22 13:05",,"West Coast India","West Coast India"
India,"BHARATI SHIPYARD",,0,0,0,0,"2024-10-22 13:05",,"West Coast India","West Coast India"
India,CHHARA,,0,1,1,0,"2024-10-22 13:05","CHHARA ANCH","West Coast India","West Coast India"
India,"CHHARA ANCH",,0,1,1,0,"2024-10-22 13:05",,"West Coast India","West Coast India"
India,CHOMBALA,,0,0,0,0,"2024-10-22 13:05",,"West Coast India","West Coast India"
India,"CHOWGULE GROUP",,0,0,0,0,"2024-10-22 13:05",,"West Coast India","West Coast India"
India,DAHANU,INDHU,0,0,0,0,"2024-10-22 13:05","DAHANU ANCH","West Coast India","West Coast India"
India,FALTA,INFLT,0,0,0,0,"2024-10-22 13:05","KOLKATA ANCH","East Coast India","Bengal Bay"
India,GADIWARA,,0,0,0,0,"2024-10-22 13:05",,"East Coast India","Bengal Bay"
India,GANGOLI,,0,0,0,0,"2024-10-22 13:05",,"West Coast India","West Coast India"
India,GEONKHALI,,0,0,0,0,"2024-10-22 13:05",,"East Coast India","Bengal Bay"
India,GOPALPET,,0,0,0,0,"2024-10-22 13:05",,"West Coast India","West Coast India"
India,HARNAI,INHRN,0,0,0,0,"2024-10-22 13:05",,"West Coast India","West Coast India"
India,KANNUR,,0,0,0,0,"2024-10-22 13:05",,"West Coast India","West Coast India"
India,KANYAKUMARI,INKKM,0,0,0,0,"2024-10-22 13:05",,"East Coast India","Laccadive Sea"
India,KARAIKAL,INKRK,0,0,0,0,"2024-10-22 13:05","KARAIKAL ANCH","East Coast India","Bengal Bay"
India,"KARAIKAL ANCH",,0,0,0,0,"2024-10-22 13:05",,"East Coast India","Bengal Bay"
India,"KARWAR BAY",,0,0,0,0,"2024-10-22 13:05",,"West Coast India","West Coast India"
India,"KATTUPALLI ANCH",,0,0,0,0,"2024-10-22 13:05",,"East Coast India","Bengal Bay"
